iter	Passed	Remaining
677	793	376
678	794	375
679	795	374
680	796	373
681	798	372
682	799	370
683	800	369
684	801	368
685	802	367
686	803	366
687	804	365
688	805	363
689	807	362
690	808	361
691	809	360
692	810	359
693	811	357
694	812	356
695	813	355
696	814	354
697	815	352
698	816	351
699	817	350
700	818	349
701	820	348
702	821	346
703	822	345
704	823	344
705	824	343
706	825	342
707	826	340
708	828	339
709	828	338
710	830	337
711	831	336
712	832	334
713	833	333
714	834	332
715	835	331
716	836	330
717	837	328
718	838	327
719	839	326
720	840	325
721	842	324
722	843	322
723	844	321
724	845	320
725	846	319
726	847	318
727	848	316
728	849	315
729	850	314
730	851	313
731	852	312
732	853	310
733	854	309
734	855	308
735	856	307
736	857	306
737	858	304
738	859	303
739	860	302
740	861	301
741	862	300
742	863	298
743	865	297
744	866	296
745	867	295
746	868	293
747	869	292
748	870	291
749	871	290
750	872	289
751	873	288
752	874	286
753	875	285
754	876	284
755	877	283
756	878	282
757	879	280
758	880	279
759	881	278
760	882	277
761	883	275
762	884	274
763	885	273
764	886	272
765	887	271
766	888	269
767	889	268
768	890	267
769	891	266
770	892	265
771	893	263
772	894	262
773	895	261
774	896	260
775	897	259
776	898	257
777	899	256
778	900	255
779	901	254
780	902	253
781	903	251
782	904	250
783	905	249
784	906	248
785	907	247
786	908	245
787	909	244
788	910	243
789	911	242
790	913	241
791	914	240
792	915	238
793	916	237
794	917	236
795	918	235
796	919	234
797	920	232
798	921	231
799	922	230
800	923	229
801	924	228
802	925	227
803	926	225
804	927	224
805	928	223
806	929	222
807	930	221
808	931	219
809	932	218
810	934	217
811	935	216
812	936	215
813	937	214
814	938	212
815	939	211
816	940	210
817	941	209
818	942	208
819	943	207
820	944	205
821	945	204
822	946	203
823	947	202
824	948	201
825	949	199
826	950	198
827	951	197
828	952	196
829	953	195
830	954	194
831	955	192
832	956	191
833	958	190
834	959	189
835	960	188
836	961	187
837	962	186
838	963	184
839	964	183
840	965	182
841	966	181
842	967	180
843	968	179
844	969	177
845	970	176
846	971	175
847	972	174
848	973	173
849	974	172
850	975	170
851	976	169
852	977	168
853	978	167
854	979	166
855	980	164
856	981	163
857	983	162
858	983	161
859	984	160
860	985	159
861	986	157
862	987	156
863	989	155
864	990	154
865	990	153
866	991	152
867	992	151
868	993	149
869	994	148
870	995	147
871	996	146
872	998	145
873	999	144
874	1000	142
875	1001	141
876	1002	140
877	1003	139
878	1004	138
879	1005	137
880	1006	135
881	1007	134
882	1008	133
883	1009	132
884	1010	131
885	1011	130
886	1012	129
887	1013	127
888	1014	126
889	1015	125
890	1017	124
891	1018	123
892	1019	122
893	1020	120
894	1021	119
895	1022	118
896	1023	117
897	1024	116
898	1025	115
899	1026	114
900	1027	112
901	1028	111
902	1029	110
903	1030	109
904	1031	108
905	1032	107
906	1033	105
907	1034	104
908	1035	103
909	1037	102
910	1038	101
911	1039	100
912	1040	99
913	1041	97
914	1042	96
915	1043	95
916	1044	94
917	1045	93
918	1046	92
919	1047	91
920	1048	89
921	1050	88
922	1051	87
923	1052	86
924	1053	85
925	1054	84
926	1055	83
927	1056	81
928	1057	80
929	1058	79
930	1059	78
931	1060	77
932	1061	76
933	1062	75
934	1063	73
935	1064	72
936	1065	71
937	1066	70
938	1067	69
939	1068	68
940	1069	67
941	1070	65
942	1071	64
943	1072	63
944	1073	62
945	1074	61
946	1075	60
947	1076	59
948	1077	57
949	1078	56
950	1079	55
951	1080	54
952	1081	53
953	1082	52
954	1083	51
955	1084	49
956	1085	48
957	1086	47
958	1087	46
959	1088	45
960	1089	44
961	1090	43
962	1092	41
963	1093	40
964	1094	39
965	1095	38
966	1096	37
967	1097	36
968	1098	35
969	1099	34
970	1100	32
971	1101	31
972	1103	30
973	1104	29
974	1105	28
975	1106	27
976	1107	26
977	1108	24
978	1109	23
979	1110	22
980	1111	21
981	1112	20
982	1113	19
983	1114	18
984	1115	16
985	1116	15
986	1117	14
987	1118	13
988	1119	12
989	1120	11
990	1121	10
991	1122	9
992	1123	7
993	1124	6
994	1125	5
995	1126	4
996	1127	3
997	1128	2
998	1129	1
999	1130	0
